nohup: ignoring input
Device: cuda | Architecture: LeNet5

Training MNIST_DVS (10000 samples, 10 classes)...
Epoch 01/100 | Train Acc: 10.05% | Val Acc: 9.90%
Epoch 02/100 | Train Acc: 9.56% | Val Acc: 9.90%
Epoch 03/100 | Train Acc: 10.35% | Val Acc: 8.90%
Epoch 04/100 | Train Acc: 10.56% | Val Acc: 9.00%
Epoch 05/100 | Train Acc: 10.71% | Val Acc: 9.30%
Epoch 06/100 | Train Acc: 13.61% | Val Acc: 15.20%
Epoch 07/100 | Train Acc: 15.93% | Val Acc: 22.10%
Epoch 08/100 | Train Acc: 24.98% | Val Acc: 23.90%
Epoch 09/100 | Train Acc: 27.11% | Val Acc: 26.00%
Epoch 10/100 | Train Acc: 28.77% | Val Acc: 28.50%
Epoch 11/100 | Train Acc: 30.85% | Val Acc: 29.40%
Epoch 12/100 | Train Acc: 31.73% | Val Acc: 32.10%
Epoch 13/100 | Train Acc: 32.80% | Val Acc: 32.10%
Epoch 14/100 | Train Acc: 33.36% | Val Acc: 32.70%
Epoch 15/100 | Train Acc: 34.00% | Val Acc: 33.80%
Epoch 16/100 | Train Acc: 34.56% | Val Acc: 34.60%
Epoch 17/100 | Train Acc: 35.33% | Val Acc: 33.60%
Epoch 18/100 | Train Acc: 35.55% | Val Acc: 35.00%
Epoch 19/100 | Train Acc: 35.96% | Val Acc: 34.80%
Epoch 20/100 | Train Acc: 36.59% | Val Acc: 36.00%
Epoch 21/100 | Train Acc: 37.49% | Val Acc: 35.60%
Epoch 22/100 | Train Acc: 37.66% | Val Acc: 35.50%
Epoch 23/100 | Train Acc: 38.52% | Val Acc: 36.60%
Epoch 24/100 | Train Acc: 39.05% | Val Acc: 37.50%
Epoch 25/100 | Train Acc: 39.50% | Val Acc: 38.60%
Epoch 26/100 | Train Acc: 39.81% | Val Acc: 38.70%
Epoch 27/100 | Train Acc: 40.83% | Val Acc: 40.50%
Epoch 28/100 | Train Acc: 41.17% | Val Acc: 41.50%
Epoch 29/100 | Train Acc: 42.21% | Val Acc: 41.10%
Epoch 30/100 | Train Acc: 42.29% | Val Acc: 43.10%
Epoch 31/100 | Train Acc: 43.27% | Val Acc: 43.20%
Epoch 32/100 | Train Acc: 43.98% | Val Acc: 44.60%
Epoch 33/100 | Train Acc: 44.49% | Val Acc: 45.40%
Epoch 34/100 | Train Acc: 45.51% | Val Acc: 45.80%
Epoch 35/100 | Train Acc: 45.92% | Val Acc: 47.70%
Epoch 36/100 | Train Acc: 46.98% | Val Acc: 48.10%
Epoch 37/100 | Train Acc: 47.09% | Val Acc: 48.40%
Epoch 38/100 | Train Acc: 47.90% | Val Acc: 49.40%
Epoch 39/100 | Train Acc: 48.31% | Val Acc: 49.70%
Epoch 40/100 | Train Acc: 49.19% | Val Acc: 51.00%
Epoch 41/100 | Train Acc: 49.73% | Val Acc: 50.70%
Epoch 42/100 | Train Acc: 50.39% | Val Acc: 51.40%
Epoch 43/100 | Train Acc: 51.14% | Val Acc: 51.00%
Epoch 44/100 | Train Acc: 51.61% | Val Acc: 52.20%
Epoch 45/100 | Train Acc: 52.31% | Val Acc: 54.00%
Epoch 46/100 | Train Acc: 53.39% | Val Acc: 53.00%
Epoch 47/100 | Train Acc: 53.71% | Val Acc: 55.10%
Epoch 48/100 | Train Acc: 54.86% | Val Acc: 55.20%
Epoch 49/100 | Train Acc: 55.06% | Val Acc: 55.80%
Epoch 50/100 | Train Acc: 56.11% | Val Acc: 55.90%
Epoch 51/100 | Train Acc: 56.45% | Val Acc: 55.70%
Epoch 52/100 | Train Acc: 56.81% | Val Acc: 57.70%
Epoch 53/100 | Train Acc: 57.84% | Val Acc: 59.30%
Epoch 54/100 | Train Acc: 58.08% | Val Acc: 57.50%
Epoch 55/100 | Train Acc: 58.69% | Val Acc: 59.90%
Epoch 56/100 | Train Acc: 59.24% | Val Acc: 59.90%
Epoch 57/100 | Train Acc: 59.73% | Val Acc: 61.50%
Epoch 58/100 | Train Acc: 60.33% | Val Acc: 61.90%
Epoch 59/100 | Train Acc: 60.74% | Val Acc: 63.10%
Epoch 60/100 | Train Acc: 61.51% | Val Acc: 63.80%
Epoch 61/100 | Train Acc: 61.91% | Val Acc: 64.40%
Epoch 62/100 | Train Acc: 62.54% | Val Acc: 64.90%
Epoch 63/100 | Train Acc: 63.12% | Val Acc: 64.90%
Epoch 64/100 | Train Acc: 62.91% | Val Acc: 65.30%
Epoch 65/100 | Train Acc: 63.88% | Val Acc: 66.40%
Epoch 66/100 | Train Acc: 64.30% | Val Acc: 66.40%
Epoch 67/100 | Train Acc: 64.56% | Val Acc: 65.50%
Epoch 68/100 | Train Acc: 65.25% | Val Acc: 67.40%
Epoch 69/100 | Train Acc: 65.53% | Val Acc: 67.70%
Epoch 70/100 | Train Acc: 65.54% | Val Acc: 66.90%
Epoch 71/100 | Train Acc: 66.08% | Val Acc: 68.70%
Epoch 72/100 | Train Acc: 66.38% | Val Acc: 68.90%
Epoch 73/100 | Train Acc: 66.78% | Val Acc: 68.90%
Epoch 74/100 | Train Acc: 67.31% | Val Acc: 70.20%
Epoch 75/100 | Train Acc: 67.91% | Val Acc: 69.00%
Epoch 76/100 | Train Acc: 67.69% | Val Acc: 70.90%
Epoch 77/100 | Train Acc: 68.58% | Val Acc: 71.30%
Epoch 78/100 | Train Acc: 68.58% | Val Acc: 69.70%
Epoch 79/100 | Train Acc: 69.15% | Val Acc: 70.70%
Epoch 80/100 | Train Acc: 69.38% | Val Acc: 70.30%
Epoch 81/100 | Train Acc: 69.91% | Val Acc: 72.30%
Epoch 82/100 | Train Acc: 70.09% | Val Acc: 70.30%
Epoch 83/100 | Train Acc: 70.11% | Val Acc: 72.10%
Epoch 84/100 | Train Acc: 70.92% | Val Acc: 71.90%
Epoch 85/100 | Train Acc: 70.95% | Val Acc: 72.20%
Epoch 86/100 | Train Acc: 71.22% | Val Acc: 72.40%
Epoch 87/100 | Train Acc: 71.49% | Val Acc: 71.80%
Epoch 88/100 | Train Acc: 71.54% | Val Acc: 72.60%
Epoch 89/100 | Train Acc: 72.01% | Val Acc: 74.10%
Epoch 90/100 | Train Acc: 71.61% | Val Acc: 73.80%
Epoch 91/100 | Train Acc: 72.30% | Val Acc: 73.40%
Epoch 92/100 | Train Acc: 72.66% | Val Acc: 73.60%
Epoch 93/100 | Train Acc: 72.91% | Val Acc: 73.90%
Epoch 94/100 | Train Acc: 73.03% | Val Acc: 73.80%
Epoch 95/100 | Train Acc: 73.29% | Val Acc: 74.60%
Epoch 96/100 | Train Acc: 73.16% | Val Acc: 74.40%
Epoch 97/100 | Train Acc: 73.78% | Val Acc: 74.50%
Epoch 98/100 | Train Acc: 73.95% | Val Acc: 73.80%
Epoch 99/100 | Train Acc: 73.70% | Val Acc: 74.70%
Epoch 100/100 | Train Acc: 73.89% | Val Acc: 74.60%
[MNIST_DVS RESULTS] Top-1 Test Acc: 73.30%

Training N_MNIST (70000 samples, 10 classes)...
Epoch 01/100 | Train Acc: 46.64% | Val Acc: 65.83%
Epoch 02/100 | Train Acc: 71.35% | Val Acc: 77.00%
Epoch 03/100 | Train Acc: 81.37% | Val Acc: 84.23%
Epoch 04/100 | Train Acc: 85.83% | Val Acc: 86.83%
Epoch 05/100 | Train Acc: 87.79% | Val Acc: 88.37%
Epoch 06/100 | Train Acc: 89.08% | Val Acc: 89.60%
Epoch 07/100 | Train Acc: 90.19% | Val Acc: 90.64%
Epoch 08/100 | Train Acc: 91.07% | Val Acc: 90.93%
Epoch 09/100 | Train Acc: 91.83% | Val Acc: 91.74%
Epoch 10/100 | Train Acc: 92.48% | Val Acc: 92.11%
Epoch 11/100 | Train Acc: 93.01% | Val Acc: 92.59%
Epoch 12/100 | Train Acc: 93.41% | Val Acc: 93.09%
Epoch 13/100 | Train Acc: 93.90% | Val Acc: 93.27%
Epoch 14/100 | Train Acc: 94.29% | Val Acc: 93.49%
Epoch 15/100 | Train Acc: 94.49% | Val Acc: 93.77%
Epoch 16/100 | Train Acc: 94.79% | Val Acc: 93.97%
